molecule,functional,lambda_abs_min,solvent
PTZ_1,M062X,173.59,DMAC
PTZ_1,B2PLYP,182.5,DMAC
PTZ_1,TDHF,141.59,DMAC
PTZ_1,B97D3,222.32,DMAC
PTZ_1,B3LYP-D3,198.12,DMAC
PTZ_1,DSD-BLYP,201.0,DMAC
PTZ_1,CAM-B3LYP-D3,171.32,DMAC
PTZ_1,PBE-D3,223.23,DMAC
PTZ_1,$\omega$-B97XD,168.07,DMAC
PTZ_1,TPSS,218.64,DMAC
PTZ_1,M06,196.12,DMAC
PTZ_1,M06L,206.45,DMAC
PTZ_1,$\omega$-B2PLYP,159.7,DMAC
CA_2,CAM-B3LYP-D3,198.01,acetonitrile
CA_2,$\omega$-B97XD,192.73,acetonitrile
CA_2,$\omega$-B2PLYP,182.8,acetonitrile
CA_2,B3LYP-D3,247.61,acetonitrile
CA_2,TPSS,291.29,acetonitrile
CA_2,B97D3,299.69,acetonitrile
CA_2,TDHF,155.63,acetonitrile
CA_2,PBE-D3,302.36,acetonitrile
CA_2,B2PLYP,211.1,acetonitrile
CA_2,M06L,277.06,acetonitrile
CA_2,DSD-BLYP,226.0,acetonitrile
CA_2,M06,234.88,acetonitrile
CA_2,M062X,201.0,acetonitrile
NCE_3,PBE-D3,274.29,acetonitrile
NCE_3,M06,220.32,acetonitrile
NCE_3,TPSS,263.39,acetonitrile
NCE_3,$\omega$-B2PLYP,175.4,acetonitrile
NCE_3,TDHF,158.69,acetonitrile
NCE_3,CAM-B3LYP-D3,189.99,acetonitrile
NCE_3,B97D3,270.36,acetonitrile
NCE_3,B3LYP-D3,229.69,acetonitrile
NCE_3,M06L,251.61,acetonitrile
NCE_3,$\omega$-B97XD,188.23,acetonitrile
NCE_3,STEOM-DLPNO-CCSD,173.6,acetonitrile
NCE_3,DSD-BLYP,186.8,acetonitrile
NCE_3,M062X,192.73,acetonitrile
NCE_3,B2PLYP,201.0,acetonitrile
Ph-Acr_2,STEOM-DLPNO-CCSD,159.9,acetonitrile
Ph-Acr_2,B2PLYP,184.3,acetonitrile
Ph-Acr_2,TDHF,143.21,acetonitrile
Ph-Acr_2,M06,192.58,acetonitrile
Ph-Acr_2,DSD-BLYP,186.4,acetonitrile
Ph-Acr_2,$\omega$-B97XD,169.61,acetonitrile
Ph-Acr_2,B3LYP-D3,198.38,acetonitrile
Ph-Acr_2,TPSS,218.98,acetonitrile
Ph-Acr_2,PBE-D3,225.89,acetonitrile
Ph-Acr_2,B97D3,224.5,acetonitrile
Ph-Acr_2,CAM-B3LYP-D3,172.32,acetonitrile
Ph-Acr_2,M062X,173.08,acetonitrile
Ph-Acr_2,M06L,210.85,acetonitrile
Ph-Acr_2,$\omega$-B2PLYP,157.2,acetonitrile
POZ_5,$\omega$-B97XD,193.1,DMAC
POZ_5,M062X,197.93,DMAC
POZ_5,TPSS,282.64,DMAC
POZ_5,CAM-B3LYP-D3,198.2,DMAC
POZ_5,B2PLYP,215.7,DMAC
POZ_5,M06L,271.07,DMAC
POZ_5,PBE-D3,291.49,DMAC
POZ_5,TDHF,168.49,DMAC
POZ_5,B3LYP-D3,237.59,DMAC
POZ_5,M06,229.41,DMAC
POZ_5,B97D3,290.25,DMAC
POZ_5,$\omega$-B2PLYP,187.9,DMAC
POZ_5,DSD-BLYP,191.4,DMAC
BOH-Acr_m,PBE-D3,257.5,acetonitrile
BOH-Acr_m,B3LYP-D3,220.46,acetonitrile
BOH-Acr_m,DSD-BLYP,212.3,acetonitrile
BOH-Acr_m,$\omega$-B97XD,183.1,acetonitrile
BOH-Acr_m,TDHF,151.12,acetonitrile
BOH-Acr_m,M062X,187.99,acetonitrile
BOH-Acr_m,M06,216.13,acetonitrile
BOH-Acr_m,CAM-B3LYP-D3,186.03,acetonitrile
BOH-Acr_m,B97D3,256.12,acetonitrile
BOH-Acr_m,TPSS,249.67,acetonitrile
BOH-Acr_m,B2PLYP,200.3,acetonitrile
BOH-Acr_m,M06L,238.65,acetonitrile
BOH-Acr_m,$\omega$-B2PLYP,174.3,acetonitrile
PDI_1,$\omega$-B97XD,193.24,dichloromethane
PDI_1,M062X,195.6,dichloromethane
PDI_1,CAM-B3LYP-D3,196.84,dichloromethane
PDI_1,TPSS,281.26,dichloromethane
PDI_1,DSD-BLYP,221.0,dichloromethane
PDI_1,$\omega$-B2PLYP,188.5,dichloromethane
PDI_1,TDHF,152.38,dichloromethane
PDI_1,B2PLYP,206.3,dichloromethane
PDI_1,M06L,265.42,dichloromethane
PDI_1,B3LYP-D3,236.48,dichloromethane
PDI_1,PBE-D3,293.07,dichloromethane
PDI_1,M06,228.36,dichloromethane
PDI_1,STEOM-DLPNO-CCSD,173.4,dichloromethane
PDI_1,B97D3,287.28,dichloromethane
PA_1,B97D3,245.9,DMFA
PA_1,$\omega$-B2PLYP,169.8,DMFA
PA_1,M06L,228.91,DMFA
PA_1,B2PLYP,191.6,DMFA
PA_1,DSD-BLYP,190.9,DMFA
PA_1,M06,205.86,DMFA
PA_1,M062X,182.51,DMFA
PA_1,TDHF,147.81,DMFA
PA_1,PBE-D3,247.15,DMFA
PA_1,$\omega$-B97XD,173.8,DMFA
PA_1,STEOM-DLPNO-CCSD,175.0,DMFA
PA_1,TPSS,239.52,DMFA
PA_1,B3LYP-D3,210.85,DMFA
PA_1,CAM-B3LYP-D3,181.57,DMFA
Me2-Acr_1,B97D3,230.39,DMFA
Me2-Acr_1,TPSS,225.2,DMFA
Me2-Acr_1,M062X,181.17,DMFA
Me2-Acr_1,DSD-BLYP,184.8,DMFA
Me2-Acr_1,B2PLYP,196.9,DMFA
Me2-Acr_1,$\omega$-B97XD,172.49,DMFA
Me2-Acr_1,STEOM-DLPNO-CCSD,171.9,DMFA
Me2-Acr_1,PBE-D3,230.86,DMFA
Me2-Acr_1,M06,202.04,DMFA
Me2-Acr_1,$\omega$-B2PLYP,168.3,DMFA
Me2-Acr_1,M06L,212.91,DMFA
Me2-Acr_1,B3LYP-D3,202.93,DMFA
Me2-Acr_1,CAM-B3LYP-D3,176.41,DMFA
Me2-Acr_1,TDHF,147.98,DMFA
PDI_3,TDHF,182.93,dichloromethane
PDI_3,B2PLYP,246.5,dichloromethane
PDI_3,$\omega$-B2PLYP,228.7,dichloromethane
PDI_3,M06,269.16,dichloromethane
PDI_3,M062X,229.19,dichloromethane
PDI_3,B3LYP-D3,290.33,dichloromethane
PDI_3,$\omega$-B97XD,231.85,dichloromethane
PDI_3,M06L,336.8,dichloromethane
PDI_3,B97D3,376.7,dichloromethane
PDI_3,PBE-D3,382.78,dichloromethane
PDI_3,DSD-BLYP,286.9,dichloromethane
PDI_3,TPSS,359.91,dichloromethane
PDI_3,CAM-B3LYP-D3,231.13,dichloromethane
CA_3,CAM-B3LYP-D3,197.4,acetonitrile
CA_3,M06L,264.5,acetonitrile
CA_3,B97D3,290.82,acetonitrile
CA_3,M06,231.69,acetonitrile
CA_3,M062X,200.62,acetonitrile
CA_3,DSD-BLYP,210.7,acetonitrile
CA_3,B2PLYP,201.8,acetonitrile
CA_3,TPSS,283.56,acetonitrile
CA_3,$\omega$-B97XD,190.26,acetonitrile
CA_3,TDHF,159.03,acetonitrile
CA_3,B3LYP-D3,237.05,acetonitrile
CA_3,$\omega$-B2PLYP,174.3,acetonitrile
CA_3,PBE-D3,292.05,acetonitrile
NCE_2,M06L,226.33,acetonitrile
NCE_2,B97D3,241.91,acetonitrile
NCE_2,$\omega$-B2PLYP,164.2,acetonitrile
NCE_2,B3LYP-D3,208.02,acetonitrile
NCE_2,$\omega$-B97XD,176.18,acetonitrile
NCE_2,M06,200.96,acetonitrile
NCE_2,TDHF,147.58,acetonitrile
NCE_2,PBE-D3,246.89,acetonitrile
NCE_2,M062X,179.12,acetonitrile
NCE_2,STEOM-DLPNO-CCSD,163.1,acetonitrile
NCE_2,CAM-B3LYP-D3,178.56,acetonitrile
NCE_2,DSD-BLYP,193.0,acetonitrile
NCE_2,TPSS,237.24,acetonitrile
NCE_2,B2PLYP,183.6,acetonitrile
PDI_2,B2PLYP,224.4,dichloromethane
PDI_2,M06,246.07,dichloromethane
PDI_2,$\omega$-B2PLYP,198.0,dichloromethane
PDI_2,DSD-BLYP,258.0,dichloromethane
PDI_2,B97D3,315.33,dichloromethane
PDI_2,B3LYP-D3,255.25,dichloromethane
PDI_2,PBE-D3,320.48,dichloromethane
PDI_2,M06L,289.44,dichloromethane
PDI_2,TDHF,162.25,dichloromethane
PDI_2,TPSS,307.75,dichloromethane
PDI_2,STEOM-DLPNO-CCSD,208.8,dichloromethane
PDI_2,M062X,211.72,dichloromethane
PDI_2,CAM-B3LYP-D3,211.25,dichloromethane
PDI_2,$\omega$-B97XD,207.72,dichloromethane
NCE_1,M062X,179.05,acetonitrile
NCE_1,M06,200.93,acetonitrile
NCE_1,STEOM-DLPNO-CCSD,152.7,acetonitrile
NCE_1,B3LYP-D3,206.07,acetonitrile
NCE_1,PBE-D3,242.75,acetonitrile
NCE_1,B97D3,238.52,acetonitrile
NCE_1,B2PLYP,190.3,acetonitrile
NCE_1,DSD-BLYP,199.7,acetonitrile
NCE_1,TPSS,235.57,acetonitrile
NCE_1,M06L,224.93,acetonitrile
NCE_1,$\omega$-B2PLYP,165.9,acetonitrile
NCE_1,TDHF,145.77,acetonitrile
NCE_1,$\omega$-B97XD,174.26,acetonitrile
NCE_1,CAM-B3LYP-D3,177.6,acetonitrile
Me2-Acr_2,PBE-D3,304.65,DMFA
Me2-Acr_2,B97D3,301.8,DMFA
Me2-Acr_2,TDHF,176.33,DMFA
Me2-Acr_2,DSD-BLYP,203.8,DMFA
Me2-Acr_2,M062X,205.47,DMFA
Me2-Acr_2,CAM-B3LYP-D3,203.25,DMFA
Me2-Acr_2,B3LYP-D3,250.75,DMFA
Me2-Acr_2,$\omega$-B2PLYP,193.7,DMFA
Me2-Acr_2,B2PLYP,228.3,DMFA
Me2-Acr_2,$\omega$-B97XD,199.3,DMFA
Me2-Acr_2,M06L,281.77,DMFA
Me2-Acr_2,TPSS,295.72,DMFA
Me2-Acr_2,M06,243.86,DMFA
BF3-Acr_p,M062X,188.4,acetonitrile
BF3-Acr_p,STEOM-DLPNO-CCSD,176.6,acetonitrile
BF3-Acr_p,M06L,246.43,acetonitrile
BF3-Acr_p,M06,214.11,acetonitrile
BF3-Acr_p,DSD-BLYP,213.4,acetonitrile
BF3-Acr_p,$\omega$-B2PLYP,177.5,acetonitrile
BF3-Acr_p,PBE-D3,265.42,acetonitrile
BF3-Acr_p,TDHF,151.75,acetonitrile
BF3-Acr_p,$\omega$-B97XD,184.68,acetonitrile
BF3-Acr_p,B97D3,263.17,acetonitrile
BF3-Acr_p,B2PLYP,200.0,acetonitrile
BF3-Acr_p,CAM-B3LYP-D3,186.51,acetonitrile
BF3-Acr_p,B3LYP-D3,218.77,acetonitrile
BF3-Acr_p,TPSS,257.44,acetonitrile
Eos_3,M06L,361.18,acetonitrile
Eos_3,TDHF,187.52,acetonitrile
Eos_3,B2PLYP,276.3,acetonitrile
Eos_3,TPSS,388.39,acetonitrile
Eos_3,PBE-D3,406.94,acetonitrile
Eos_3,DSD-BLYP,296.2,acetonitrile
Eos_3,CAM-B3LYP-D3,237.1,acetonitrile
Eos_3,M06,281.4,acetonitrile
Eos_3,M062X,238.84,acetonitrile
Eos_3,B3LYP-D3,296.18,acetonitrile
Eos_3,$\omega$-B2PLYP,225.6,acetonitrile
Eos_3,$\omega$-B97XD,233.94,acetonitrile
Eos_3,B97D3,393.88,acetonitrile
Eos_Y,M06L,286.6,acetonitrile
Eos_Y,DSD-BLYP,-5903.6,acetonitrile
Eos_Y,M06,240.83,acetonitrile
Eos_Y,$\omega$-B97XD,207.13,acetonitrile
Eos_Y,$\omega$-B2PLYP,193.7,acetonitrile
Eos_Y,TDHF,163.64,acetonitrile
Eos_Y,PBE-D3,321.55,acetonitrile
Eos_Y,B2PLYP,216.2,acetonitrile
Eos_Y,STEOM-DLPNO-CCSD,71.8,acetonitrile
Eos_Y,B97D3,316.53,acetonitrile
Eos_Y,TPSS,305.53,acetonitrile
Eos_Y,B3LYP-D3,251.46,acetonitrile
Eos_Y,M062X,205.46,acetonitrile
Eos_Y,CAM-B3LYP-D3,206.73,acetonitrile
CA_1,B2PLYP,227.7,acetonitrile
CA_1,TPSS,322.85,acetonitrile
CA_1,$\omega$-B97XD,207.84,acetonitrile
CA_1,M062X,213.29,acetonitrile
CA_1,PBE-D3,331.09,acetonitrile
CA_1,B97D3,328.53,acetonitrile
CA_1,CAM-B3LYP-D3,212.04,acetonitrile
CA_1,M06L,304.39,acetonitrile
CA_1,DSD-BLYP,230.0,acetonitrile
CA_1,TDHF,171.62,acetonitrile
CA_1,B3LYP-D3,266.55,acetonitrile
CA_1,$\omega$-B2PLYP,192.6,acetonitrile
CA_1,M06,252.24,acetonitrile
Eos_1,B3LYP-D3,267.58,acetonitrile
Eos_1,$\omega$-B2PLYP,207.1,acetonitrile
Eos_1,B2PLYP,247.7,acetonitrile
Eos_1,M06,258.05,acetonitrile
Eos_1,B97D3,340.84,acetonitrile
Eos_1,STEOM-DLPNO-CCSD,232.7,acetonitrile
Eos_1,DSD-BLYP,287.9,acetonitrile
Eos_1,M06L,312.17,acetonitrile
Eos_1,M062X,222.14,acetonitrile
Eos_1,TDHF,175.13,acetonitrile
Eos_1,TPSS,333.05,acetonitrile
Eos_1,PBE-D3,348.84,acetonitrile
Eos_1,CAM-B3LYP-D3,222.16,acetonitrile
Eos_1,$\omega$-B97XD,218.17,acetonitrile
Me2-Acr_3,$\omega$-B2PLYP,179.3,DMFA
Me2-Acr_3,TDHF,161.41,DMFA
Me2-Acr_3,B3LYP-D3,243.09,DMFA
Me2-Acr_3,$\omega$-B97XD,192.36,DMFA
Me2-Acr_3,STEOM-DLPNO-CCSD,195.5,DMFA
Me2-Acr_3,M06L,268.42,DMFA
Me2-Acr_3,CAM-B3LYP-D3,197.09,DMFA
Me2-Acr_3,M062X,199.42,DMFA
Me2-Acr_3,PBE-D3,292.0,DMFA
Me2-Acr_3,DSD-BLYP,177.9,DMFA
Me2-Acr_3,B97D3,290.22,DMFA
Me2-Acr_3,B2PLYP,216.0,DMFA
Me2-Acr_3,TPSS,281.02,DMFA
Me2-Acr_3,M06,230.59,DMFA
Eos_2,B2PLYP,260.4,acetonitrile
Eos_2,B97D3,364.82,acetonitrile
Eos_2,$\omega$-B2PLYP,209.1,acetonitrile
Eos_2,M06L,330.65,acetonitrile
Eos_2,$\omega$-B97XD,222.04,acetonitrile
Eos_2,M062X,224.63,acetonitrile
Eos_2,TDHF,175.18,acetonitrile
Eos_2,TPSS,356.29,acetonitrile
