molecule,functional,basis,wavelength,intensity
Eos_1,M06,6-31+G**,200,1.0348136032743933e-18
Eos_1,M06,6-31+G**,201,3.61572991695901e-18
Eos_1,M06,6-31+G**,202,1.2200670099323756e-17
Eos_1,M06,6-31+G**,203,3.979289761851097e-17
Eos_1,M06,6-31+G**,204,1.255542428043941e-16
Eos_1,M06,6-31+G**,205,3.835488362675902e-16
Eos_1,M06,6-31+G**,206,1.1353320625706455e-15
Eos_1,M06,6-31+G**,207,3.2589514154221806e-15
Eos_1,M06,6-31+G**,208,9.078538880301323e-15
Eos_1,M06,6-31+G**,209,2.4561690765900323e-14
Eos_1,M06,6-31+G**,210,6.45828167234769e-14
Eos_1,M06,6-31+G**,211,1.6515647832732337e-13
Eos_1,M06,6-31+G**,212,4.110448112886068e-13
Eos_1,M06,6-31+G**,213,9.962869297933948e-13
Eos_1,M06,6-31+G**,214,2.3532072203421846e-12
Eos_1,M06,6-31+G**,215,5.419851325323356e-12
Eos_1,M06,6-31+G**,216,1.2179499845984026e-11
Eos_1,M06,6-31+G**,217,2.672037091133877e-11
Eos_1,M06,6-31+G**,218,5.726317012764863e-11
Eos_1,M06,6-31+G**,219,1.199416916893812e-10
Eos_1,M06,6-31+G**,220,2.4567564822329874e-10
Eos_1,M06,6-31+G**,221,4.923568357020863e-10
Eos_1,M06,6-31+G**,222,9.6593121371162e-10
Eos_1,M06,6-31+G**,223,1.8559963813545507e-09
Eos_1,M06,6-31+G**,224,3.4944847807104757e-09
Eos_1,M06,6-31+G**,225,6.450137354577047e-09
Eos_1,M06,6-31+G**,226,1.1677064856206263e-08
Eos_1,M06,6-31+G**,227,2.0742978968722798e-08
Eos_1,M06,6-31+G**,228,3.61717801726397e-08
Eos_1,M06,6-31+G**,229,6.19460453343433e-08
Eos_1,M06,6-31+G**,230,1.0422719490889287e-07
Eos_1,M06,6-31+G**,231,1.7236395331927484e-07
Eos_1,M06,6-31+G**,232,2.80271848607627e-07
Eos_1,M06,6-31+G**,233,4.4827605388883573e-07
Eos_1,M06,6-31+G**,234,7.055144038033143e-07
Eos_1,M06,6-31+G**,235,1.0929939971178728e-06
Eos_1,M06,6-31+G**,236,1.667380233883051e-06
Eos_1,M06,6-31+G**,237,2.505568329337756e-06
Eos_1,M06,6-31+G**,238,3.7100417473414517e-06
Eos_1,M06,6-31+G**,239,5.414958163332433e-06
Eos_1,M06,6-31+G**,240,7.7928217553095e-06
Eos_1,M06,6-31+G**,241,1.1061503311067797e-05
Eos_1,M06,6-31+G**,242,1.549126191256615e-05
Eos_1,M06,6-31+G**,243,2.1411311618221416e-05
Eos_1,M06,6-31+G**,244,2.9215373917541523e-05
Eos_1,M06,6-31+G**,245,3.9365573973580877e-05
Eos_1,M06,6-31+G**,246,5.239398886711584e-05
Eos_1,M06,6-31+G**,247,6.890115180871296e-05
Eos_1,M06,6-31+G**,248,8.955086814771929e-05
Eos_1,M06,6-31+G**,249,0.00011506081388894135
Eos_1,M06,6-31+G**,250,0.00014618856714839414
Eos_1,M06,6-31+G**,251,0.0001837129632166539
Eos_1,M06,6-31+G**,252,0.000228410953712948
Eos_1,M06,6-31+G**,253,0.0002810304723895141
Eos_1,M06,6-31+G**,254,0.00034226014180031416
Eos_1,M06,6-31+G**,255,0.000412696969960701
Eos_1,M06,6-31+G**,256,0.000492813456645281
Eos_1,M06,6-31+G**,257,0.0005829257287739267
Eos_1,M06,6-31+G**,258,0.0006831644311241232
Eos_1,M06,6-31+G**,259,0.0007934500965598586
Eos_1,M06,6-31+G**,260,0.0009134746016299289
Eos_1,M06,6-31+G**,261,0.0010426900807789202
Eos_1,M06,6-31+G**,262,0.0011803063371901565
Eos_1,M06,6-31+G**,263,0.0013252973709427555
Eos_1,M06,6-31+G**,264,0.001476417173370325
Eos_1,M06,6-31+G**,265,0.00163222444267669
Eos_1,M06,6-31+G**,266,0.0017911153943353693
Eos_1,M06,6-31+G**,267,0.0019513634038557726
Eos_1,M06,6-31+G**,268,0.0021111638585457936
Eos_1,M06,6-31+G**,269,0.0022686823320973953
Eos_1,M06,6-31+G**,270,0.002422104046375109
Eos_1,M06,6-31+G**,271,0.002569682555039838
Eos_1,M06,6-31+G**,272,0.002709785670994976
Eos_1,M06,6-31+G**,273,0.00284093685327823
Eos_1,M06,6-31+G**,274,0.0029618505512703204
Eos_1,M06,6-31+G**,275,0.003071460352289721
Eos_1,M06,6-31+G**,276,0.003168939167256956
Eos_1,M06,6-31+G**,277,0.0032537110919103602
Eos_1,M06,6-31+G**,278,0.003325454973120191
Eos_1,M06,6-31+G**,279,0.0033841000692836614
Eos_1,M06,6-31+G**,280,0.00342981450298517
Eos_1,M06,6-31+G**,281,0.0034629874505488793
Eos_1,M06,6-31+G**,282,0.0034842061896407455
Eos_1,M06,6-31+G**,283,0.0034942292307488386
Eos_1,M06,6-31+G**,284,0.003493956793910538
Eos_1,M06,6-31+G**,285,0.0034843998650418945
Eos_1,M06,6-31+G**,286,0.003466648986103663
Eos_1,M06,6-31+G**,287,0.003441843811370887
Eos_1,M06,6-31+G**,288,0.0034111443103155676
Eos_1,M06,6-31+G**,289,0.0033757043280053588
Eos_1,M06,6-31+G**,290,0.00333664803753971
Eos_1,M06,6-31+G**,291,0.0032950496455360777
Eos_1,M06,6-31+G**,292,0.0032519165489056567
Eos_1,M06,6-31+G**,293,0.003208175995030658
Eos_1,M06,6-31+G**,294,0.003164665171930152
Eos_1,M06,6-31+G**,295,0.0031221245522156564
Eos_1,M06,6-31+G**,296,0.003081194235139809
Eos_1,M06,6-31+G**,297,0.003042412974082513
Eos_1,M06,6-31+G**,298,0.0030062195406696424
Eos_1,M06,6-31+G**,299,0.0029729560589823963
Eos_1,M06,6-31+G**,300,0.002942872941211848
Eos_1,M06,6-31+G**,301,0.002916135066729668
Eos_1,M06,6-31+G**,302,0.002892828867027193
Eos_1,M06,6-31+G**,303,0.002872970006669238
Eos_1,M06,6-31+G**,304,0.002856511382959143
Eos_1,M06,6-31+G**,305,0.0028433512024037054
Eos_1,M06,6-31+G**,306,0.002833340928642526
Eos_1,M06,6-31+G**,307,0.0028262929329463927
Eos_1,M06,6-31+G**,308,0.0028219877136807306
Eos_1,M06,6-31+G**,309,0.002820180584519791
Eos_1,M06,6-31+G**,310,0.0028206077621468983
Eos_1,M06,6-31+G**,311,0.002822991812314349
Eos_1,M06,6-31+G**,312,0.002827046438220249
Eos_1,M06,6-31+G**,313,0.0028324806170409982
Eos_1,M06,6-31+G**,314,0.002839002109060687
Eos_1,M06,6-31+G**,315,0.002846320379142198
Eos_1,M06,6-31+G**,316,0.002854148982315682
Eos_1,M06,6-31+G**,317,0.002862207474088583
Eos_1,M06,6-31+G**,318,0.002870222911821461
Eos_1,M06,6-31+G**,319,0.0028779310163242764
Eos_1,M06,6-31+G**,320,0.002885077062915027
Eos_1,M06,6-31+G**,321,0.0028914165687995057
Eos_1,M06,6-31+G**,322,0.0028967158390762705
Eos_1,M06,6-31+G**,323,0.002900752427284137
Eos_1,M06,6-31+G**,324,0.002903315558563253
Eos_1,M06,6-31+G**,325,0.002904206554591294
Eos_1,M06,6-31+G**,326,0.0029032392898915124
Eos_1,M06,6-31+G**,327,0.0029002406992950066
Eos_1,M06,6-31+G**,328,0.002895051346666697
Eos_1,M06,6-31+G**,329,0.0028875260558346703
Eos_1,M06,6-31+G**,330,0.0028775345963175354
Eos_1,M06,6-31+G**,331,0.0028649624091940415
Eos_1,M06,6-31+G**,332,0.002849711352515088
Eos_1,M06,6-31+G**,333,0.0028317004411678504
Eos_1,M06,6-31+G**,334,0.0028108665531466
Eos_1,M06,6-31+G**,335,0.00278716507278111
Eos_1,M06,6-31+G**,336,0.0027605704415758275
Eos_1,M06,6-31+G**,337,0.0027310765888199544
Eos_1,M06,6-31+G**,338,0.002698697216890935
Eos_1,M06,6-31+G**,339,0.0026634659200035532
Eos_1,M06,6-31+G**,340,0.002625436119838011
Eos_1,M06,6-31+G**,341,0.0025846808067786636
Eos_1,M06,6-31+G**,342,0.0025412920811700265
Eos_1,M06,6-31+G**,343,0.002495380494809628
Eos_1,M06,6-31+G**,344,0.00244707419862235
Eos_1,M06,6-31+G**,345,0.002396517907890922
Eos_1,M06,6-31+G**,346,0.0023438717013713854
Eos_1,M06,6-31+G**,347,0.0022893096749499425
Eos_1,M06,6-31+G**,348,0.002233018474081064
Eos_1,M06,6-31+G**,349,0.0021751957320038633
Eos_1,M06,6-31+G**,350,0.002116048442616218
Eos_1,M06,6-31+G**,351,0.0020557912978794433
Eos_1,M06,6-31+G**,352,0.001994645019746491
Eos_1,M06,6-31+G**,353,0.0019328347158969444
Eos_1,M06,6-31+G**,354,0.0018705882870893122
Eos_1,M06,6-31+G**,355,0.0018081349117907112
Eos_1,M06,6-31+G**,356,0.0017457036310157884
Eos_1,M06,6-31+G**,357,0.0016835220531100782
Eos_1,M06,6-31+G**,358,0.0016218151946624491
Eos_1,M06,6-31+G**,359,0.0015608044699425637
Eos_1,M06,6-31+G**,360,0.0015007068373455645
Eos_1,M06,6-31+G**,361,0.0014417341073946943
Eos_1,M06,6-31+G**,362,0.001384092413002904
Eos_1,M06,6-31+G**,363,0.0013279818390148875
Eos_1,M06,6-31+G**,364,0.0012735962046195308
Eos_1,M06,6-31+G**,365,0.0012211229891032388
Eos_1,M06,6-31+G**,366,0.0011707433886592345
Eos_1,M06,6-31+G**,367,0.001122632489615327
Eos_1,M06,6-31+G**,368,0.001076959541518759
Eos_1,M06,6-31+G**,369,0.0010338883120362896
Eos_1,M06,6-31+G**,370,0.0009935775045938678
Eos_1,M06,6-31+G**,371,0.000956181219086824
Eos_1,M06,6-31+G**,372,0.0009218494358237539
Eos_1,M06,6-31+G**,373,0.0008907285031027193
Eos_1,M06,6-31+G**,374,0.0008629616094289363
Eos_1,M06,6-31+G**,375,0.0008386892223357562
Eos_1,M06,6-31+G**,376,0.0008180494770284782
Eos_1,M06,6-31+G**,377,0.0008011784995943578
Eos_1,M06,6-31+G**,378,0.0007882106512708683
Eos_1,M06,6-31+G**,379,0.0007792786821964456
Eos_1,M06,6-31+G**,380,0.0007745137851417525
Eos_1,M06,6-31+G**,381,0.0007740455418941972
Eos_1,M06,6-31+G**,382,0.0007780017572041295
Eos_1,M06,6-31+G**,383,0.0007865081774599952
Eos_1,M06,6-31+G**,384,0.0007996880935056028
Eos_1,M06,6-31+G**,385,0.0008176618292120863
Eos_1,M06,6-31+G**,386,0.0008405461195390076
Eos_1,M06,6-31+G**,387,0.0008684533838351028
Eos_1,M06,6-31+G**,388,0.0009014909020140734
Eos_1,M06,6-31+G**,389,0.0009397599029721246
Eos_1,M06,6-31+G**,390,0.0009833545761723595
Eos_1,M06,6-31+G**,391,0.001032361018690318
Eos_1,M06,6-31+G**,392,0.0010868561311818436
Eos_1,M06,6-31+G**,393,0.001146906477188763
Eos_1,M06,6-31+G**,394,0.0012125671209328814
Eos_1,M06,6-31+G**,395,0.0012838804592599745
Eos_1,M06,6-31+G**,396,0.0013608750636823234
Eos_1,M06,6-31+G**,397,0.0014435645485320427
Eos_1,M06,6-31+G**,398,0.0015319464810827472
Eos_1,M06,6-31+G**,399,0.0016260013491312512
Eos_1,M06,6-31+G**,400,0.0017256916009629998
Eos_1,M06,6-31+G**,401,0.0018309607718670108
Eos_1,M06,6-31+G**,402,0.0019417327104322515
Eos_1,M06,6-31+G**,403,0.0020579109167625865
Eos_1,M06,6-31+G**,404,0.002179378003510148
Eos_1,M06,6-31+G**,405,0.0023059952892647874
Eos_1,M06,6-31+G**,406,0.0024376025323711364
Eos_1,M06,6-31+G**,407,0.0025740178116941963
Eos_1,M06,6-31+G**,408,0.0027150375592416946
Eos_1,M06,6-31+G**,409,0.002860436747897102
Eos_1,M06,6-31+G**,410,0.003009969235843352
Eos_1,M06,6-31+G**,411,0.0031633682675845667
Eos_1,M06,6-31+G**,412,0.003320347129822262
Eos_1,M06,6-31+G**,413,0.0034805999588334653
Eos_1,M06,6-31+G**,414,0.003643802694448481
Eos_1,M06,6-31+G**,415,0.0038096141742547883
Eos_1,M06,6-31+G**,416,0.003977677360274738
Eos_1,M06,6-31+G**,417,0.0041476206890935004
Eos_1,M06,6-31+G**,418,0.004319059535262644
Eos_1,M06,6-31+G**,419,0.004491597776783271
Eos_1,M06,6-31+G**,420,0.004664829450590248
